integration time 1.000,000 ms
average 50
LED operation voltage 3V
wavelength nm vs intensity

7.995000000e+02,3.993817605e-03
7.997344360e+02,-7.157475920e-04
7.999688721e+02,-1.041732961e-03
8.002033081e+02,-3.275595082e-04
8.004377441e+02,2.486583311e-03
8.006722412e+02,1.308685387e-05
8.009066772e+02,3.437492065e-03
8.011411743e+02,-3.983406350e-03
8.013756714e+02,1.213023570e-04
8.016101685e+02,2.237759996e-03
8.018446655e+02,-9.612688795e-03
8.020791626e+02,-5.000298377e-03
8.023137207e+02,-4.988254979e-03
8.025482178e+02,7.607933134e-03
8.027827759e+02,3.198067192e-03
8.030173340e+02,2.403334947e-03
8.032518921e+02,8.644752204e-03
8.034864502e+02,-3.429743228e-03
8.037210083e+02,-7.045850623e-03
8.039556274e+02,9.328890592e-03
8.041901855e+02,5.630832165e-03
8.044248047e+02,5.529175978e-03
8.046594238e+02,3.460576758e-03
8.048940430e+02,6.774805952e-04
8.051286621e+02,1.892060624e-03
8.053633423e+02,9.001675993e-03
8.055979614e+02,3.853506409e-03
8.058326416e+02,5.506541114e-03
8.060672607e+02,-3.330662381e-03
8.063019409e+02,-6.050836295e-03
8.065366821e+02,-7.905109785e-03
8.067713623e+02,6.314950995e-03
8.070060425e+02,-5.500433035e-04
8.072407837e+02,-6.029733457e-03
8.074754639e+02,-3.600526601e-03
8.077102051e+02,2.685462125e-03
8.079449463e+02,-4.958555102e-03
8.081796875e+02,5.706913769e-03
8.084144897e+02,4.375163116e-04
8.086492310e+02,1.875019516e-03
8.088840332e+02,1.154197287e-02
8.091187744e+02,-1.812177710e-03
8.093535767e+02,8.790501393e-03
8.095883789e+02,6.361260079e-03
8.098231812e+02,-3.346283920e-03
8.100580444e+02,2.859632717e-03
8.102928467e+02,5.756170489e-03
8.105277100e+02,-3.583809594e-03
8.107625122e+02,-6.251019891e-03
8.109973755e+02,-4.727088381e-03
8.112322388e+02,3.580721561e-03
8.114671631e+02,4.458796233e-03
8.117020264e+02,4.845283926e-03
8.119368896e+02,-6.080518360e-04
8.121718140e+02,4.427644424e-03
8.124067383e+02,6.031102501e-03
8.126416626e+02,-8.599705063e-03
8.128765869e+02,9.486180730e-03
8.131115112e+02,1.613711356e-03
8.133464966e+02,2.495755441e-03
8.135814209e+02,2.765589394e-03
8.138164063e+02,-1.984730829e-03
8.140513916e+02,1.092490368e-02
8.142863770e+02,6.822834257e-04
8.145213623e+02,9.229316493e-04
8.147563477e+02,6.958351005e-03
8.149913330e+02,-1.030242420e-04
8.152263794e+02,-2.429727931e-03
8.154614258e+02,-4.760485142e-03
8.156964111e+02,1.307918807e-03
8.159314575e+02,8.008251898e-03
8.161665649e+02,4.089260008e-03
8.164016113e+02,6.375905126e-03
8.166366577e+02,1.042797510e-02
8.168717651e+02,-6.648581941e-03
8.171068726e+02,-8.327686228e-03
8.173419800e+02,2.066272544e-03
8.175770874e+02,2.761130454e-03
8.178121948e+02,4.969747737e-03
8.180473022e+02,7.430694066e-03
8.182824707e+02,9.996060282e-03
8.185175781e+02,-4.033347592e-03
8.187527466e+02,3.544857493e-03
8.189879150e+02,2.150961198e-03
8.192230835e+02,6.897769053e-04
8.194582520e+02,3.893655259e-03
8.196934204e+02,-2.206967445e-03
8.199286499e+02,5.034431815e-03
8.201638794e+02,2.288370626e-03
8.203990479e+02,-1.332664746e-03
8.206342773e+02,1.769862487e-03
8.208695068e+02,-6.969972048e-03
8.211047974e+02,1.439110748e-02
8.213400269e+02,7.811256219e-04
8.215753174e+02,-2.418120624e-03
8.218105469e+02,1.468767598e-02
8.220458374e+02,1.461740234e-03
8.222811279e+02,6.414749660e-03
8.225164185e+02,4.090068105e-04
8.227517090e+02,5.447438452e-04
8.229870605e+02,-4.477627110e-03
